location,property_type,area,rooms,bathrooms,floor_number,total_floors,age_of_property,furnishing_status,parking_spaces,near_metro,gated,near_school,near_it_park,pool,gym,security,garden,clubhouse,play_area,backup,rainwater,ev_charging,cctv,intercom,rooftop,price
Chandapura,Penthouse,2388,4,5,2,9,15,Fully-Furnished,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,18792622
Kanakapura Road,Independent House,2105,3,4,8,10,2,Unfurnished,2,1,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,22395073
Vijayanagar,Penthouse,835,1,1,14,15,10,Unfurnished,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,11198089
Bommasandra,Apartment,4087,4,4,15,18,15,Unfurnished,2,1,0,0,1,0,1,1,0,1,0,1,0,1,1,1,0,26683028
Kadugodi,Apartment,1896,3,3,3,14,10,Unfurnished,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,18686640
Uttarahalli,Independent House,676,1,1,8,11,0,Fully-Furnished,2,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,7652851
Old Airport Road,Apartment,4045,4,4,5,16,0,Fully-Furnished,2,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,58809222
Electronic City Phase 2,Independent House,1499,3,3,8,18,15,Semi-Furnished,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,10779086
Devanahalli,Apartment,2066,3,4,13,18,15,Fully-Furnished,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,16512064
Electronic City Phase 1,Apartment,1507,3,2,3,19,2,Semi-Furnished,2,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,12715482
Hoodi,Apartment,834,1,1,1,1,0,Unfurnished,2,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,10186153
Sadashivanagar,Penthouse,2446,4,3,8,13,10,Semi-Furnished,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,73607967
Panathur,Independent House,2109,3,4,6,8,5,Semi-Furnished,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,22585097
Hosur Road,Villa,1881,3,3,2,15,15,Fully-Furnished,0,0,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,23717854
Indiranagar,Villa,734,1,1,3,18,2,Fully-Furnished,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,19591253
Thanisandra,Apartment,1782,3,4,9,11,5,Fully-Furnished,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,0,1,19999903
Padmanabhanagar,Independent House,1271,2,1,10,14,15,Fully-Furnished,2,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,12202510
Chandapura,Penthouse,1050,2,3,13,17,15,Unfurnished,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,8318769
Electronic City Phase 2,Villa,4466,4,4,6,14,2,Semi-Furnished,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,45970104
Electronic City,Independent House,1148,2,1,12,15,5,Semi-Furnished,2,0,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0,9849379
Hennur Road,Apartment,1791,3,2,14,16,5,Unfurnished,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,19275674
Old Airport Road,Penthouse,1056,2,3,12,15,2,Semi-Furnished,2,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,21674480
Koramangala,Apartment,558,1,1,6,14,15,Semi-Furnished,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,9739653
Rajajinagar,Independent House,515,1,1,13,15,5,Fully-Furnished,2,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,8988381
Koramangala,Independent House,1665,3,2,0,11,0,Fully-Furnished,2,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,30509777
Domlur,Villa,1506,3,2,4,9,15,Semi-Furnished,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,31590436
Jakkar,Penthouse,503,1,1,14,20,15,Semi-Furnished,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,6689221
HSR Layout,Villa,501,1,1,2,18,10,Fully-Furnished,2,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,11342228
Yelahanka,Villa,2032,3,2,11,18,5,Fully-Furnished,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,29628159
CV Raman Nagar,Villa,587,1,1,9,15,5,Unfurnished,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,9243665
Electronic City,Penthouse,1181,2,1,11,13,0,Unfurnished,2,1,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,13102729
CV Raman Nagar,Villa,4431,4,5,3,17,2,Unfurnished,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,63549936
Electronic City,Apartment,1946,3,4,0,16,0,Unfurnished,2,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,16065754
JP Nagar,Villa,2067,3,3,14,19,15,Fully-Furnished,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,34091052
Old Airport Road,Apartment,835,1,1,9,14,2,Fully-Furnished,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,13017619
Old Airport Road,Penthouse,1351,2,2,11,20,15,Semi-Furnished,0,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,25682627
Varthur,Penthouse,2934,4,3,0,16,15,Unfurnished,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,39620056
Tumkur Road,Independent House,2476,4,4,12,17,10,Semi-Furnished,0,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,18917428
Thanisandra,Apartment,3069,4,4,12,15,5,Fully-Furnished,2,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,33593542
Sadashivanagar,Villa,848,1,1,8,10,10,Semi-Furnished,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1,27792322
Chandapura,Independent House,1746,3,2,8,9,15,Semi-Furnished,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,9564212
Tumkur Road,Independent House,3029,4,3,7,15,5,Unfurnished,2,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,23643066
Basavanagudi,Penthouse,1841,3,2,12,15,15,Semi-Furnished,2,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,37577718
Kanakapura Road,Independent House,694,1,1,1,7,0,Fully-Furnished,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,8242848
Mahadevapura,Penthouse,1110,2,3,4,4,15,Unfurnished,2,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,17353201
Frazer Town,Independent House,952,2,2,5,16,10,Fully-Furnished,0,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,15376857
Tumkur Road,Penthouse,910,2,3,13,19,10,Unfurnished,2,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,9853535
Kengeri,Apartment,1719,3,3,7,7,0,Fully-Furnished,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,14955543
Varthur,Penthouse,1378,2,3,8,19,2,Semi-Furnished,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,19542914
Outer Ring Road,Penthouse,1816,3,2,8,9,5,Unfurnished,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,32092790
Vijayanagar,Villa,1218,2,3,13,19,10,Semi-Furnished,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1,17991094
Malleswaram,Penthouse,756,1,1,7,7,10,Semi-Furnished,2,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,18038539
Uttarahalli,Penthouse,723,1,1,5,12,10,Unfurnished,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,8722140
Domlur,Apartment,1911,3,3,12,19,2,Semi-Furnished,0,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,29285862
Rayan Circle,Apartment,1834,3,2,13,17,15,Fully-Furnished,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,20549995
Outer Ring Road,Villa,1525,3,2,3,3,2,Unfurnished,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,29000108
Bellandur,Independent House,665,1,1,0,4,2,Unfurnished,2,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,9870238
Varthur,Independent House,1629,3,3,13,13,2,Fully-Furnished,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,17531323
Hosur Road,Independent House,2607,4,4,10,13,10,Semi-Furnished,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,22980625
Outer Ring Road,Independent House,4148,4,5,1,13,5,Semi-Furnished,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,54626239
Vijayanagar,Apartment,3664,4,3,6,17,5,Fully-Furnished,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,36747665
Basavanagudi,Independent House,839,1,1,15,20,10,Unfurnished,2,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,13171775
Sahakara Nagar,Apartment,1165,2,2,6,16,0,Fully-Furnished,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12985942
BTM Layout,Penthouse,757,1,1,10,11,5,Unfurnished,1,0,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,12549936
RT Nagar,Apartment,1502,3,4,9,11,2,Fully-Furnished,2,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,17798107
Devanahalli,Penthouse,761,1,1,9,16,2,Fully-Furnished,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,9116751
Thanisandra,Penthouse,639,1,1,8,19,2,Unfurnished,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,9597368
Electronic City Phase 1,Apartment,1043,2,2,5,8,5,Unfurnished,2,1,0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,9011789
Rajajinagar,Independent House,3258,4,3,6,19,10,Unfurnished,1,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,46660935
Tumkur Road,Independent House,571,1,1,5,19,0,Unfurnished,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,5640606
Sarjapur Road,Independent House,2034,3,2,10,18,15,Unfurnished,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,20496199
Hoodi,Independent House,747,1,1,9,20,15,Semi-Furnished,2,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1,8722467
Thanisandra,Villa,1453,3,2,10,18,10,Fully-Furnished,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,22706597
Nagarbhavi,Villa,824,1,1,11,16,0,Unfurnished,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,11781960
Marathahalli,Apartment,539,1,1,9,19,2,Fully-Furnished,1,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,7169893
Jayanagar,Penthouse,1935,3,3,3,13,2,Semi-Furnished,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,41557712
Koramangala,Independent House,522,1,1,0,9,5,Fully-Furnished,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,10022828
Frazer Town,Independent House,573,1,1,2,17,0,Semi-Furnished,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,9316530
Hoodi,Villa,952,2,3,7,19,15,Fully-Furnished,2,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,16000593
Hennur Road,Penthouse,1027,2,1,5,8,10,Unfurnished,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,14753362
Bommasandra,Penthouse,2072,3,3,6,6,0,Fully-Furnished,2,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,19669276
Outer Ring Road,Apartment,2194,3,3,2,11,2,Semi-Furnished,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,29215197
Chandapura,Penthouse,706,1,1,12,14,2,Unfurnished,2,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,6983060
Bannerghatta Road,Independent House,804,1,1,0,6,5,Semi-Furnished,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,8490201
Anjanapura,Villa,654,1,1,1,14,2,Fully-Furnished,1,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,8201491
Kadugodi,Apartment,788,1,1,2,8,10,Unfurnished,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,1,1,7952395
Uttarahalli,Independent House,1344,2,3,13,15,5,Fully-Furnished,2,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,0,13424344
Nagarbhavi,Penthouse,1501,3,2,12,15,15,Semi-Furnished,2,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,19535850
Marathahalli,Apartment,3622,4,5,7,17,15,Fully-Furnished,2,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,36915251
Bannerghatta Road,Villa,604,1,1,8,18,0,Fully-Furnished,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,10302072
Electronic City Phase 2,Penthouse,4483,4,5,1,2,0,Fully-Furnished,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,43239827
Electronic City,Villa,2867,4,5,14,19,15,Unfurnished,2,1,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,31153578
Rajajinagar,Apartment,1869,3,4,7,20,0,Fully-Furnished,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,28213828
Basavanagudi,Apartment,814,1,1,7,17,15,Semi-Furnished,2,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,12749248
Jakkar,Independent House,2827,4,3,15,18,0,Unfurnished,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,28160667
Thanisandra,Independent House,1235,2,3,12,19,5,Unfurnished,2,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,14098580
Basavanagudi,Penthouse,4247,4,3,15,19,15,Semi-Furnished,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,0,1,85812133
Electronic City Phase 1,Penthouse,1213,2,3,6,10,5,Fully-Furnished,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,12953950
Padmanabhanagar,Penthouse,1133,2,1,11,17,5,Unfurnished,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,14204426
Electronic City Phase 2,Independent House,1217,2,3,15,19,15,Fully-Furnished,2,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,9294701
Marathahalli,Penthouse,3753,4,3,8,11,0,Unfurnished,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,51338779
BTM Layout,Apartment,791,1,1,13,19,0,Fully-Furnished,2,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,10863821
Electronic City Phase 2,Independent House,1068,2,2,13,13,0,Semi-Furnished,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,1,1,8559975
Devanahalli,Apartment,1931,3,4,4,19,5,Semi-Furnished,0,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,15735244
Brookefield,Apartment,517,1,1,6,13,10,Semi-Furnished,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,6827229
CV Raman Nagar,Independent House,1219,2,3,2,3,0,Fully-Furnished,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,13248880
JP Nagar,Apartment,585,1,1,0,10,0,Unfurnished,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,7945561
Vijayanagar,Independent House,1457,3,2,9,17,2,Unfurnished,2,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,15406111
Vijayanagar,Villa,2092,3,2,10,16,15,Semi-Furnished,2,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,29684790
Old Airport Road,Independent House,3947,4,3,12,16,2,Unfurnished,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,55829850
BTM Layout,Villa,3468,4,3,7,15,10,Semi-Furnished,2,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,57420906
KR Puram,Apartment,1575,3,3,0,18,15,Semi-Furnished,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,15195042
Electronic City Phase 2,Villa,1317,2,2,0,11,0,Unfurnished,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,14277227
Hoodi,Villa,1229,2,2,2,5,0,Fully-Furnished,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,21141190
Varthur,Villa,1833,3,3,5,18,2,Semi-Furnished,2,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,28034006
Koramangala,Villa,656,1,1,13,15,0,Fully-Furnished,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17564935
Padmanabhanagar,Penthouse,1944,3,4,13,19,10,Fully-Furnished,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,25139042
Jayanagar,Villa,1284,2,2,9,20,5,Semi-Furnished,2,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,30267770
Electronic City Phase 2,Apartment,2142,3,2,14,14,0,Semi-Furnished,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,16198028
Sahakara Nagar,Independent House,1699,3,4,1,11,5,Unfurnished,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,19256606
RT Nagar,Villa,528,1,1,14,18,15,Fully-Furnished,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,8437665
Uttarahalli,Villa,3055,4,3,2,8,5,Unfurnished,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,38760058
Indiranagar,Independent House,1942,3,4,3,7,10,Unfurnished,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,1,35089776
Rajajinagar,Villa,2311,4,4,12,19,15,Semi-Furnished,2,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,48220845
CV Raman Nagar,Penthouse,2341,4,5,14,17,15,Semi-Furnished,2,0,1,0,0,1,0,1,0,0,1,1,1,0,1,1,0,31709885
Kanakapura Road,Independent House,1828,3,2,0,7,0,Unfurnished,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,18674942
Sadashivanagar,Apartment,791,1,1,6,6,2,Unfurnished,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0,18075573
Bommasandra,Apartment,2649,4,5,10,20,10,Unfurnished,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,17945467
Magadi Road,Penthouse,954,2,2,10,14,15,Semi-Furnished,1,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,10100636
CV Raman Nagar,Independent House,755,1,1,1,20,5,Fully-Furnished,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,8227427
Nagarbhavi,Apartment,1214,2,3,4,9,2,Semi-Furnished,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,12776124
Padmanabhanagar,Apartment,1195,2,3,11,12,5,Fully-Furnished,1,1,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,12873903
Bannerghatta Road,Apartment,3993,4,3,14,14,0,Unfurnished,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,38714852
Tumkur Road,Villa,1582,3,3,8,10,0,Fully-Furnished,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,18179144
Mahadevapura,Apartment,1473,3,2,2,3,5,Fully-Furnished,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,17990719
Domlur,Penthouse,828,1,1,7,12,15,Semi-Furnished,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,16485238
Electronic City,Penthouse,1076,2,1,7,10,0,Semi-Furnished,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,12043107
Koramangala,Apartment,675,1,1,5,6,15,Semi-Furnished,2,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,12276830
Devanahalli,Villa,606,1,1,12,12,5,Semi-Furnished,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,7485197
Padmanabhanagar,Independent House,1063,2,2,0,11,2,Fully-Furnished,1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,11170173
Varthur,Independent House,1908,3,3,15,20,15,Semi-Furnished,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,18947229
Malleswaram,Independent House,1118,2,1,13,18,0,Semi-Furnished,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,19951553
Kadugodi,Penthouse,569,1,1,11,18,0,Semi-Furnished,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,8174049
Magadi Road,Villa,1367,2,2,14,16,10,Fully-Furnished,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,15745695
Rajajinagar,Apartment,1813,3,3,9,9,0,Unfurnished,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,26870492
Panathur,Penthouse,3474,4,3,0,8,15,Fully-Furnished,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,47947356
Electronic City Phase 2,Villa,724,1,1,7,7,0,Fully-Furnished,2,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,9182978
Kengeri,Penthouse,1955,3,3,13,13,2,Fully-Furnished,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,22463709
KR Puram,Apartment,1733,3,4,9,11,10,Semi-Furnished,2,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,18082820
Indiranagar,Independent House,1239,2,1,10,11,15,Fully-Furnished,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,1,22578619
Kanakapura Road,Apartment,795,1,1,9,20,15,Fully-Furnished,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,1,8431739
Mahadevapura,Independent House,1107,2,3,2,13,5,Unfurnished,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,13485587
Sarjapur Road,Penthouse,1763,3,4,15,20,2,Fully-Furnished,2,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,26594877
Bannerghatta Road,Apartment,2193,3,2,11,15,15,Semi-Furnished,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,21163097
Koramangala,Independent House,1683,3,3,4,7,0,Semi-Furnished,2,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,30682543
Sarjapur Road,Villa,1475,3,4,0,8,5,Fully-Furnished,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,23232171
JP Nagar,Penthouse,829,1,1,9,18,10,Unfurnished,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,12226726
Rajajinagar,Penthouse,797,1,1,4,15,15,Unfurnished,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,15112707
Panathur,Apartment,783,1,1,6,11,0,Fully-Furnished,2,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,10235683
Vijayanagar,Villa,3214,4,4,12,15,2,Semi-Furnished,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,0,46272871
Banaswadi,Villa,1804,3,4,9,14,2,Semi-Furnished,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,24823363
Jayanagar,Villa,1545,3,3,8,8,2,Semi-Furnished,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,36187781
Nagarbhavi,Penthouse,3632,4,3,9,19,15,Semi-Furnished,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,45655459
Whitefield,Apartment,585,1,1,15,18,15,Unfurnished,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,6593972
HSR Layout,Apartment,4191,4,5,6,10,0,Unfurnished,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,57856283
Hebbal,Independent House,1728,3,2,3,19,10,Unfurnished,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,21529764
Hebbal,Villa,675,1,1,14,18,0,Fully-Furnished,2,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,13816360
Sarjapur Road,Independent House,844,1,1,8,13,10,Semi-Furnished,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,8888671
Jakkar,Penthouse,1361,2,1,14,19,15,Fully-Furnished,2,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,18256946
Whitefield,Villa,1392,2,3,12,19,0,Fully-Furnished,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,24824877
Yeshwanthpur,Apartment,521,1,1,11,12,15,Fully-Furnished,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5676006
Sarjapur Road,Independent House,514,1,1,7,13,0,Fully-Furnished,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,6900272
Padmanabhanagar,Penthouse,795,1,1,3,4,2,Unfurnished,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,10262071
Sahakara Nagar,Independent House,517,1,1,9,18,15,Semi-Furnished,2,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,5965498
Tumkur Road,Apartment,681,1,1,15,17,2,Semi-Furnished,0,1,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,5963275
Hosur Road,Apartment,2080,3,4,10,19,10,Unfurnished,2,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,18871695
Yelahanka,Independent House,715,1,1,2,12,0,Semi-Furnished,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,7662217
Brookefield,Villa,2391,4,5,1,4,5,Unfurnished,2,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,43933409
Padmanabhanagar,Villa,1929,3,2,1,17,5,Unfurnished,2,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,26354292
Begur,Penthouse,1894,3,2,9,9,5,Semi-Furnished,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,1,1,21717281
Banaswadi,Independent House,576,1,1,15,20,15,Semi-Furnished,2,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,6058042
Bellandur,Apartment,2723,4,4,3,16,10,Semi-Furnished,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,36669334
Domlur,Penthouse,1788,3,3,10,16,0,Fully-Furnished,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,36910429
Banaswadi,Penthouse,1271,2,1,7,17,5,Unfurnished,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,16244714
BTM Layout,Villa,922,2,2,8,11,2,Fully-Furnished,2,0,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1,17071630
Hebbal,Independent House,2964,4,3,7,13,0,Semi-Furnished,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,37589269
BTM Layout,Villa,3179,4,5,12,17,5,Semi-Furnished,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,53308595
Chandapura,Villa,2315,4,3,6,20,0,Semi-Furnished,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,19716262
Panathur,Apartment,750,1,1,10,15,15,Unfurnished,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,7426550
Chandapura,Independent House,1118,2,3,15,17,2,Semi-Furnished,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,7936368
Electronic City Phase 1,Apartment,3000,4,5,8,19,15,Fully-Furnished,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,23422489
Panathur,Apartment,773,1,1,2,2,15,Fully-Furnished,2,1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,9062152
Magadi Road,Apartment,1278,2,2,0,6,15,Semi-Furnished,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,10112268
